route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
2201B,HSL,201B,Leppävaara-Mäkkylä-Pitäjänmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b201b.html
2202,HSL,202,Vermonniitty-Leppävaara-Helmipöllönmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b202.html
2202N,HSL,202N,Elielinaukio-Aalto-yliopisto(M)-Leppävaaran asema,,701,http://aikataulut.hsl.fi/linjat/fi/b202N.html
2203,HSL,203,Leppävaara-Uusmäki,,701,http://aikataulut.hsl.fi/linjat/fi/b203.html
2206,HSL,206,Leppävaara-Kera,,701,http://aikataulut.hsl.fi/linjat/fi/b206.html
2206K,HSL,206K,Leppävaara-Kilo-Kera,,701,http://aikataulut.hsl.fi/linjat/fi/b206K.html
2207,HSL,207,Leppävaara-Lintukorpi,,704,http://aikataulut.hsl.fi/linjat/fi/b207.html
2212,HSL,212,Kamppi-Meilahti-Laajalahti-Kauniainen,,701,http://aikataulut.hsl.fi/linjat/fi/b212.html
2213,HSL,213,Kamppi-Meilahti-Suvela-Espoon keskus-Kauklahti,,701,http://aikataulut.hsl.fi/linjat/fi/b213.html
2213N,HSL,213N,Kamppi-Meilahti-Laajalahti-Suvela-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b213N.html
2213X,HSL,213X,Elielinaukio-Tuomarila-Espoon keskus,,701,http://aikataulut.hsl.fi/linjat/fi/b213X.html
2214,HSL,214,Leppävaara-Karakallio-Rastaala-Jupperi,,701,http://aikataulut.hsl.fi/linjat/fi/b214.html
2214A,HSL,214A,Leppävaara-Karakallio-Jupperi-Lähderanta,,701,http://aikataulut.hsl.fi/linjat/fi/b214A.html
2215,HSL,215,Leppävaara-Jupperi-Lähderanta,,701,http://aikataulut.hsl.fi/linjat/fi/b215.html
2224,HSL,224,Leppävaara-Kauniainen-Espoon keskus-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b224.html
2224B,HSL,224B,Kauniainen-Espoon keskus-Tuomarila,,701,http://aikataulut.hsl.fi/linjat/fi/b224B.html
2225,HSL,225,Leppävaara-Karakallio-Viherlaakso-Lippajärvi-Högnäs,,701,http://aikataulut.hsl.fi/linjat/fi/b225.html
2227,HSL,227,Leppävaara-Lippajärvi-Jorvi,,701,http://aikataulut.hsl.fi/linjat/fi/b227.html
